Crop,Precision,Recall,F1-Score,Support
apple,1.0,1.0,1.0,20
banana,1.0,1.0,1.0,20
watermelon,1.0,1.0,1.0,20
tomato,1.0,1.0,1.0,30
pomegranate,1.0,1.0,1.0,20
pineapple,1.0,1.0,1.0,30
pigeonpeas,1.0,1.0,1.0,20
papaya,1.0,1.0,1.0,50
orange,1.0,1.0,1.0,20
onion,1.0,1.0,1.0,30
muskmelon,1.0,1.0,1.0,20
mungbean,1.0,1.0,1.0,20
mothbeans,1.0,1.0,1.0,20
mango,1.0,1.0,1.0,20
coffee,1.0,1.0,1.0,20
coconut,1.0,1.0,1.0,20
calabash,1.0,1.0,1.0,30
grapes,1.0,1.0,1.0,20
cotton,1.0,1.0,1.0,20
chickpea,1.0,1.0,1.0,20
lentil,0.9615384615384616,1.0,0.9803921568627451,50
blackgram,1.0,0.95,0.9743589743589743,20
jute,1.0,0.94,0.9690721649484536,50
rice,0.9322033898305084,1.0,0.9649122807017544,110
potato,0.9354838709677419,0.9666666666666667,0.9508196721311475,30
colocasia,1.0,0.9,0.9473684210526315,30
wheat,0.90625,0.9666666666666667,0.9354838709677419,30
cauliflower,0.9032258064516129,0.9333333333333333,0.9180327868852459,30
pumpkin,0.9310344827586207,0.9,0.9152542372881356,30
groundnut,1.0,0.8333333333333334,0.9090909090909091,30
maize,0.9361702127659575,0.88,0.9072164948453608,50
pointed_gourd,0.9615384615384616,0.8333333333333334,0.8928571428571429,30
kidneybeans,0.8518518518518519,0.92,0.8846153846153846,50
oil_crop,0.84375,0.9,0.8709677419354839,30
leafy_vegetables,0.8125,0.8666666666666667,0.8387096774193549,30
eggplant,0.8571428571428571,0.8,0.8275862068965517,30
